,GlobalID,FileName,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude
0,{003166CE-682C-40AD-9850-8F9CB145B79D},ATT747_20200706_105832.jpg,2020-07-07 00:00:00,"Saw this on the side of the road, the entire thing was longer than my thumb. I was on my way to work and had nothing to collect it in, and it was covered in ants when I found it.",Negative ID,That's a female sawfly. That is her ovipositor. She uses it to lay eggs in wood.,2020-07-07,48.935934,-122.736701
1,{003166CE-682C-40AD-9850-8F9CB145B79D},ATT748_20200706_103840.jpg,2020-07-07 00:00:00,"Saw this on the side of the road, the entire thing was longer than my thumb. I was on my way to work and had nothing to collect it in, and it was covered in ants when I found it.",Negative ID,That's a female sawfly. That is her ovipositor. She uses it to lay eggs in wood.,2020-07-07,48.935934,-122.736701
2,{003166CE-682C-40AD-9850-8F9CB145B79D},ATT749_20200706_105919.jpg,2020-07-07 00:00:00,"Saw this on the side of the road, the entire thing was longer than my thumb. I was on my way to work and had nothing to collect it in, and it was covered in ants when I found it.",Negative ID,That's a female sawfly. That is her ovipositor. She uses it to lay eggs in wood.,2020-07-07,48.935934,-122.736701
3,{00612178-7CAE-4EC8-9D15-8C5F151890F8},ATT1253_WWU bug.jpg,2020-07-10 00:00:00,I observed at the WWU Campus in the parking lot below Viking Union.  Was deceased and about 1.5 to 2 inches.,Negative ID,Thanks for your submission. That's a ten lined June bug beetle.,2020-07-27,48.739259,-122.486259
4,{00A16769-A2AF-4728-9CC2-E37DE45FB7F5},ATT621_IMG_20200628_144748.jpg,2020-06-28 00:00:00,"Gardening, found this huge carapace. Looks like a remnant of a stinger, too.",Negative ID,"It's really hard to tell what that was, but it definitely does not have the colors of an Asian giant hornet.",2020-06-29,47.568041,-122.637503
5,{00A16769-A2AF-4728-9CC2-E37DE45FB7F5},ATT622_IMG_20200628_144927.jpg,2020-06-28 00:00:00,"Gardening, found this huge carapace. Looks like a remnant of a stinger, too.",Negative ID,"It's really hard to tell what that was, but it definitely does not have the colors of an Asian giant hornet.",2020-06-29,47.568041,-122.637503
6,{00A16769-A2AF-4728-9CC2-E37DE45FB7F5},ATT623_IMG_20200628_144954.jpg,2020-06-28 00:00:00,"Gardening, found this huge carapace. Looks like a remnant of a stinger, too.",Negative ID,"It's really hard to tell what that was, but it definitely does not have the colors of an Asian giant hornet.",2020-06-29,47.568041,-122.637503
7,{00A1C7DF-8F64-47B7-9E85-79E164F6931F},ATT543_inbound4081317946561997608.jpg,2020-06-20 00:00:00,We were changing a tire and it was laying dead on the ground by the tire.,Negative ID,That was a native elm sawfly. They are harmless. ,2020-06-20,48.506728,-122.250809
8,{00A1C7DF-8F64-47B7-9E85-79E164F6931F},ATT544_inbound7009843853376437469.jpg,2020-06-20 00:00:00,We were changing a tire and it was laying dead on the ground by the tire.,Negative ID,That was a native elm sawfly. They are harmless. ,2020-06-20,48.506728,-122.250809
9,{00A1C7DF-8F64-47B7-9E85-79E164F6931F},ATT545_inbound7722102071019242684.jpg,2020-06-20 00:00:00,We were changing a tire and it was laying dead on the ground by the tire.,Negative ID,That was a native elm sawfly. They are harmless. ,2020-06-20,48.506728,-122.250809
10,{00B71C2A-CE5C-422B-B61B-5498CFA95C34},ATT2359_IMG_20200825_170249140_MP.jpg,2020-08-26 00:00:00,We caught it alive,Negative ID,"Thanks for the submission. That is a wood wasp, also known as a horntail sawfly.",2020-08-26,47.219515,-117.075843
11,{00B71C2A-CE5C-422B-B61B-5498CFA95C34},ATT2360_USER_SCOPED_TEMP_DATA_MSGR_PHOTO_FOR_UPLOAD_1598403670779_6704190909966455942.jpg,2020-08-26 00:00:00,We caught it alive,Negative ID,"Thanks for the submission. That is a wood wasp, also known as a horntail sawfly.",2020-08-26,47.219515,-117.075843
12,{00C424FC-B378-4352-826B-9C8442CCECBE},ATT842_FAB271C6-59DC-411A-A676-2D53D1D29F18.jpg,2020-07-12 00:00:00,"Found in my garden, killed with was spray. Is almost 2 inches long. Never seen anything like it before.",Negative ID,Western cicada killer. ,2020-07-12,47.323265,-119.440667
13,{00C424FC-B378-4352-826B-9C8442CCECBE},ATT843_7138DFDF-3B03-442B-9DCB-20467F7B542C.jpg,2020-07-12 00:00:00,"Found in my garden, killed with was spray. Is almost 2 inches long. Never seen anything like it before.",Negative ID,Western cicada killer. ,2020-07-12,47.323265,-119.440667
14,{00FABFBB-3504-4E46-8F2A-405559F2C74D},ATT698_6FF0EDEF-D563-4463-8F1E-5BCBEC63641D.jpg,2020-07-05 00:00:00,On our back door. It was still and didn’t move when we got a picture.,Negative ID,That's an elm sawfly. ,2020-07-05,47.890674,-122.15987
15,{011FF7E9-147D-4FCA-A3B0-2340BE6A35B0},ATT261_unknownwasp3.jpg,2020-03-02 00:00:00,Community member wanted to know if it was dangerous or non-native.,Negative ID,That is a Scoliid wasp.,2020-05-28,48.550103,-119.741725
16,{016DDF49-2218-4073-A5F4-32396D0D4B70},ATT1677_hornet bite.jpg,2020-08-02 00:00:00,"fishing on the Yakima river, an agressive hornet bit and or stung my son. it was about 3"" in length and we identified it as the center example image attached",Unverified,Thanks for the submission. Sorry that happened. There is no way we can confirm what stung. Take comfort in that your county is currently Negative for Asian giant hornet.,2020-08-05,46.706048,-120.481003
17,{016DDF49-2218-4073-A5F4-32396D0D4B70},ATT1678_hornet.jpg,2020-08-02 00:00:00,"fishing on the Yakima river, an agressive hornet bit and or stung my son. it was about 3"" in length and we identified it as the center example image attached",Unverified,Thanks for the submission. Sorry that happened. There is no way we can confirm what stung. Take comfort in that your county is currently Negative for Asian giant hornet.,2020-08-05,46.706048,-120.481003
