66666,0,31,1,1,1,6,Damrey,20110729
,,,,,,,,
2000050500,1,96,1360,1004,15,,,
,,,,,,,,
2000050506,1,99,1350,1004,15,,,
,,,,,,,,
2000050512,1,102,1344,1004,15,,,
,,,,,,,,
2000050518,1,107,1337,1002,15,,,
,,,,,,,,
2000050600,1,111,1330,1002,15,,,
,,,,,,,,
2000050606,1,118,1323,1002,15,,,
,,,,,,,,
2000050612,1,125,1321,1000,15,,,
,,,,,,,,
2000050618,1,130,1318,1000,15,,,
,,,,,,,,
2000050700,2,132,1316,995,20,,,
,,,,,,,,
2000050706,3,134,1313,985,25,,,
,,,,,,,,
2000050712,3,137,1312,980,28,,,
,,,,,,,,
2000050718,3,138,1313,980,30,,,
,,,,,,,,
2000050800,4,140,1315,975,33,,,
,,,,,,,,
2000050806,4,143,1320,970,35,,,
,,,,,,,,
2000050812,4,146,1324,970,35,,,
,,,,,,,,
2000050818,4,151,1330,965,40,,,
,,,,,,,,
2000050900,5,156,1335,955,45,,,
,,,,,,,,
2000050906,5,164,1344,945,50,,,
,,,,,,,,
2000050912,5,173,1353,940,50,,,
,,,,,,,,
2000050918,5,187,1360,935,50,,,
,,,,,,,,
2000051000,5,195,1368,935,50,,,
,,,,,,,,
2000051006,5,208,1378,945,45,,,
,,,,,,,,
2000051012,4,222,1388,955,40,,,
,,,,,,,,
2000051018,4,230,1395,955,40,,,
,,,,,,,,
2000051100,4,237,1399,965,35,,,
,,,,,,,,
2000051106,3,251,1411,975,30,,,
,,,,,,,,
2000051112,3,260,1420,980,28,,,
,,,,,,,,
2000051118,3,269,1435,980,25,,,
,,,,,,,,
2000051200,2,277,1459,990,20,,,
,,,,,,,,
2000051206,2,283,1479,995,18,,,
,,,,,,,,
2000051212,9,284,1495,998,15,,,
,,,,,,,,
66666,0,15,2,2,1,6,Longwang,20110729
,,,,,,,,
2000051712,0,160,1192,1002,10,,,
,,,,,,,,
2000051718,1,161,1205,1000,12,,,
,,,,,,,,
2000051800,1,162,1212,1000,12,,,
,,,,,,,,
2000051806,1,179,1225,998,12,,,
,,,,,,,,
2000051812,1,190,1233,998,12,,,
,,,,,,,,
2000051818,1,204,1245,998,15,,,
,,,,,,,,
2000051900,2,213,1255,995,20,,,
,,,,,,,,
2000051906,2,223,1269,995,20,,,
,,,,,,,,
2000051912,2,232,1286,995,20,,,
,,,,,,,,
2000051918,2,247,1308,990,23,,,
,,,,,,,,
2000052000,2,264,1350,995,20,,,
,,,,,,,,
2000052006,9,282,1390,998,15,,,
,,,,,,,,
2000052012,9,302,1420,1000,15,,,
,,,,,,,,
2000052018,9,313,1448,1000,15,,,
,,,,,,,,
2000052100,9,335,1468,1000,15,,,
,,,,,,,,
66666,0,10,3,0,0,6,(nameless),20110729
,,,,,,,,
2000052000,1,180,1160,1002,15,,,
,,,,,,,,
2000052006,1,179,1165,1002,15,,,
,,,,,,,,
2000052012,1,178,1172,1002,15,,,
,,,,,,,,
2000052018,1,178,1180,1002,15,,,
,,,,,,,,
2000052100,1,181,1189,1002,15,,,
,,,,,,,,
2000052106,1,190,1195,1002,15,,,
,,,,,,,,
2000052112,1,198,1206,1004,15,,,
,,,,,,,,
2000052118,1,210,1230,1004,15,,,
,,,,,,,,
2000052200,1,216,1250,1004,15,,,
,,,,,,,,
2000052206,1,222,1268,1005,12,,,
,,,,,,,,
66666,0,9,4,0,0,6,(nameless),20110729
,,,,,,,,
2000053018,1,126,1109,1003,12,,,
,,,,,,,,
2000053100,1,134,1111,1002,15,,,
,,,,,,,,
2000053106,1,143,1108,1002,15,,,
,,,,,,,,
2000053112,1,149,1103,1001,15,,,
,,,,,,,,
2000053118,1,153,1098,1001,15,,,
,,,,,,,,
2000060100,1,162,1090,1001,15,,,
,,,,,,,,
2000060106,1,167,1082,1003,12,,,
,,,,,,,,
