,Unnamed: 0,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,lenth,note emotion,lab emotion,color,bee lenth,CNNpossibility,Season
2,2,{003166CE-682C-40AD-9850-8F9CB145B79D},2020-07-07 00:00:00,"Saw this on the side of the road, the entire thing was longer than my thumb. I was on my way to work and had nothing to collect it in, and it was covered in ants when I found it.",0,That's a female sawfly. That is her ovipositor. She uses it to lay eggs in wood.,2020-07-07,48.935934,-122.736701,0.699604743083004,0.0607661807824334,0.0674957487885974,1,1,0.5446414351463318,7
5,5,{00612178-7CAE-4EC8-9D15-8C5F151890F8},2020-07-10 00:00:00,I observed at the WWU Campus in the parking lot below Viking Union.  Was deceased and about 1.5 to 2 inches.,0,Thanks for your submission. That's a ten lined June bug beetle.,2020-07-27,48.739259,-122.486259,0.422924901185771,0.413117947873033,0.215568865843182,0,1,0.6271758675575256,7
7,7,{00A16769-A2AF-4728-9CC2-E37DE45FB7F5},2020-06-28 00:00:00,"Gardening, found this huge carapace. Looks like a remnant of a stinger, too.",0,"It's really hard to tell what that was, but it definitely does not have the colors of an Asian giant hornet.",2020-06-29,47.568041,-122.637503,0.296442687747036,0.0699407011727056,0.0971609565079499,0,1,0.7577786445617676,6
8,8,{00A1C7DF-8F64-47B7-9E85-79E164F6931F},2020-06-20 00:00:00,We were changing a tire and it was laying dead on the ground by the tire.,0,That was a native elm sawfly. They are harmless. ,2020-06-20,48.506728,-122.250809,0.284584980237154,0.0379392430051603,0.128246918339084,0,0,0.7784231901168823,6
9,9,{00B71C2A-CE5C-422B-B61B-5498CFA95C34},2020-08-26 00:00:00,We caught it alive,0,"Thanks for the submission. That is a wood wasp, also known as a horntail sawfly.",2020-08-26,47.219515,-117.075843,0.0671936758893281,0.0174968882709228,0.388755395185422,0,0,0.6961597204208374,8
10,10,{00C424FC-B378-4352-826B-9C8442CCECBE},2020-07-12 00:00:00,"Found in my garden, killed with was spray. Is almost 2 inches long. Never seen anything like it before.",0,Western cicada killer. ,2020-07-12,47.323265,-119.440667,0.403162055335968,0.212658652432917,0.0123374723042767,0,1,0.586549699306488,7
12,12,{00FABFBB-3504-4E46-8F2A-405559F2C74D},2020-07-05 00:00:00,On our back door. It was still and didn’t move when we got a picture.,0,That's an elm sawfly. ,2020-07-05,47.890674,-122.15987,0.268774703557312,0.147329766248303,0.0768387741402239,0,0,0.7585693597793579,7
13,13,{011FF7E9-147D-4FCA-A3B0-2340BE6A35B0},2020-03-02 00:00:00,Community member wanted to know if it was dangerous or non-native.,0,That is a Scoliid wasp.,2020-05-28,48.550103,-119.741725,0.256916996047431,0.0431020902303777,0.0456147481161605,0,0,0.6530883312225342,5
16,16,{0188B952-8F4A-482B-B766-0DDABB0A3F05},2020-10-03 00:00:00,We caught it in a jar.,0,Thanks for the submission. That is a bald faced hornet.,2020-10-03,47.228374,-122.519198,0.08300395256917,0.0163870274650416,0.255431858102001,0,0,0.6547839641571045,10
17,17,{01A01074-C6CA-4CC7-B8E6-3B22BDA73B4A},2020-07-06 00:00:00,Saw this creature on my deck but was too slow to get a better picture. It was a bit over an inch long and kind of looks like the bald-face hornet you've pictured but I'm not sure.,0,Bald faced hornet. ,2020-07-06,47.846023,-122.508676,0.703557312252964,0.0362509428724229,0.0375920312964276,1,1,0.4403369724750519,7
20,20,{01A7558E-BED5-4520-BC74-AC0C02001DE8},2020-08-23 00:00:00,Found in driveway and not moving much.  Very large guy with black face,0,Thanks for the submission. That could be a Lion beetle. Note its partial elytra (wing covers).,2020-08-23,47.737326,-122.365904,0.272727272727273,0.219213914568133,0.188605484876244,1,0,0.6936997175216675,8
21,21,{01AA7FD6-8F00-4754-8E0F-A19DAAFBD823},2020-04-23 00:00:00,Was attached to my window at work.,0,This one's a yellowacket,2020-04-23,47.607667,-122.312902,0.130434782608696,0.0580039368199134,0.106036154460433,0,0,0.625243067741394,4
22,22,{01AE9539-FD83-40EF-B23B-257F69690687},2020-08-17 00:00:00, ,0,Thanks for the submission. That is a Lion longhorn beetle!  ,2020-08-18,46.465248,-124.052826,0.0,0.0,0.280901856687551,0,0,0.3420746922492981,8
24,24,{01CC62EE-47CE-46AC-80DF-0185A6711A8D},2020-08-27 00:00:00,Trapped it on our homemade plastic jar trap,0,Thanks for the submission. That is a Cicada killer!,2020-08-27,47.087642,-117.580023,0.16600790513834,0.0345121901994537,0.217072070333789,0,0,0.2694743871688843,8
27,27,{01D94862-4158-42B6-964A-D185462F8616},2020-06-01 00:00:00, ,0,"That is a Cimbex sawfly. Look at those beautiful, clubbed antennae!  ",2020-06-01,47.263518,-122.647769,0.0,0.0,0.135320111229121,0,0,0.613803505897522,6
28,28,{01E31294-1A10-41F0-AB34-64C5C514C7E7},2020-07-19 00:00:00,landed on friends dog big not aggressive  but killed it,0,Cicada killer. ,2020-07-20,47.938283,-118.226001,0.213438735177866,0.188224065035485,0.0054667927800037,0,1,0.7046447396278381,7
29,29,{01F5C38B-E855-4378-BBF2-EF2039A338AA},2020-09-09 00:00:00, ,0,Thanks for the submission.  That is a wood wasp.,2020-09-09,47.357703,-122.310946,0.0,0.0,0.14867726608484,0,0,0.4848618507385254,9
30,30,{0208D9EC-9652-4DFB-9313-8C25A534BB3B},2020-05-19 00:00:00,Found this in my garage this evening. It is at least 1.5 inches long. Not sure if it is a Murder Hornet. It looks like it is in the early stages of growing hence the translucent body. I covered it with a glass and took these pictures.,0,This is a Jerusalem cricket -  ,2020-05-19,47.461451,-120.309291,0.92094861660079,0.579424309481945,0.0441402507263971,1,1,0.7501448392868042,5
