,GlobalID,Detection Date,Notes,Lab Status,Lab Comments,Submission Date,Latitude,Longitude,FileName
3999,{B36BD03C-B8C5-409F-85CC-34EAED9845ED},1899-12-30,caught this several times on my drive way camera. It was buzzing around for an hour or so not very clear but looks like some kinda big bee,2, ,2020-05-09,48.92032,-122.628865,
3000,{880BD1C3-A233-4B02-83FB-A0C88BED3E02},1899-12-30,I’ve asked the original person to report their sighting as well. If he hasn’t/won’t I just wanted to make sure it was reported. The screen shot I submitted should let you find him if you search the next door app.,2, ,2020-05-05,45.64435,-122.65236,
1319,{3B9C62CF-CE41-4056-8CEB-0BC06879B342},1899-12-30,"Very large hornet attacking our screen door. Difficult to photograph due to bright background. I am a native of Seattle and have never seen a hornet this large. At least 2 inches minimum in length. Body was long, but not slender in the middle like a regu",2, ,2020-05-11,47.574889,-122.223924,
942,{29CAD9B0-977C-4947-BD62-5CA381CEEA33},1899-12-30,Big and nasty,2, ,2020-05-04,47.547201,-122.039725,
1721,{4DD00485-C4AC-4007-91FA-BDCAC52C3D12},1899-12-30,"It was definitely an adian hornet, about 2 inches in length, bright orangey, yellow. Went to get a jar to try an capture it, but left my raspberry patch. Looked around in my other fruit and flowers, but couldn't  see it. It took me by surprise because of",2,Thanks for the submission. We are contacting you.,2020-10-13,48.911443,-122.442494,
1463,{425DEE78-155E-491E-ABFC-17A95F5B2E72},1899-12-30,I was sitting on my couch looking out the window and all of a sudden I saw a huge bee Trying furiously to get in the house. I have never seen a be this big it almost look like a small hummingbird and seemed very aggressive. I was not able to get a pictur,2, ,2020-05-05,47.35689,-123.09944,
4955,{DFA7F66D-8DCB-43D7-93EC-3F2E42602600},1899-12-30,I killed this hornet with a bug zapper it took about 30 to 40 mins to kill every time I hit it it came back with vengeance. I still have it and stuck it in a jar if I am contacted I can send you a picture.,2, ,2020-05-04,48.060235,-122.203513,
1694,{4C3AFF15-F025-4A1B-B862-E4B09BFF5BD4},1899-12-30,"Never seen before.it was huge. Flew in my van window landed on my shirt. Got scared and flicked my shirt , it went back out window. This was between Centralia, Washington and grand mound Washington on the freeway I .5",2, ,2020-05-06,46.811377,-123.171401,
724,{1FD6ACB8-F6A8-4DE1-A3E7-41B8B855A615},1980-05-03,"These are not recent. My mom and I had one visit our apartment in Kingsgate, Kirkland, WA in 1979-1980!",2, ,2020-05-03,47.72746,-122.17857,
3055,{8A3CBA16-6B50-4723-AB66-8637A185B6D1},2007-01-20,"In 2006 & 2007  I came across giant hornets maybe two inches long and no less than one and half inches. They looked like normal except huge hornets, yellow jackets.  They were hibernating inside an infrequently used tape dispenser so that when I pulled t",2, ,2020-07-31,47.829363,-122.21655,
3541,{9E37A2AC-716C-4CE7-82F2-C29BE18253FA},2010-02-20,I saw on the trail/walking path near Lake Chelan River Reach,0,This is a Jerusalem cricket (Stenopelmatus):  ,2020-05-02,47.780824,-120.022073,ATT86_D544BB88-A508-4DB5-807F-E9AB6EAF427E.jpg
3570,{9F458526-1FF1-4FEE-8592-CE767A4828CA},2010-04-20,I am a landscape contractor and found one years ago above lake padden off hawk way... I was gardening and found a dead one. I was surprised and caught off guard by the size but was happy to see it was dead... I carefully scooped it up and brought it to D,2, ,2020-05-05,48.711564,-122.455863,
351,{0F53D708-3442-4AE5-BFC5-75905DE1BEB4},2010-09-04,Camping at Quarry Pond State Park Deception Pass State Park on inside loop.  Saw the hornet 3 different times at our campsite.  One.,2, ,2020-10-01,48.393312,-122.643946,
1057,{2FFCC19F-8A04-4246-9FDE-C48A1C75B6D6},2011-01-20,Insect was seen flying near a wetland area close to my property.,2, ,2020-05-03,46.733549,-122.951486,
5395,{F6B94391-4654-41D6-9CAB-76885FAA3709},2011-04-20,We camped on beach two. two Huge bees with long stingers kept coming at us wouldn’t leave us alone (my husband batted at it and hit one and it still came back in phased.,2, ,2020-05-05,47.9082,-124.63663,
3004,{882553EC-1B3C-4A33-8372-C6FDFF7E0B8B},2011-05-20,I was working outside and saw one fly by  me twice within a couple hours. It was a little over an inch long.,2, ,2020-05-06,47.278517,-119.556258,
2140,{6183075E-BCD6-42DA-A8FF-5F82896B4F7A},2011-07-20,Omak Washington at omak lake,2, ,2020-08-12,48.322623,-119.430393,
3830,{AB660492-C6A0-4C3C-A4EA-C8D143C045DC},2011-08-20,I took this picture at fish lake in Washington state on a camping trip in 2011,2, ,2020-05-05,47.83454,-120.70457,
1369,{3D97022E-5F57-43BE-909B-A85326FB8E52},2011-08-20,I was stopped in my car as I waited for the road to clear so I could head home. I looked left to double check it was safe to go. I saw a large insect that was reddish orange. I didn’t get a really close look because I was in my car and it darted away q,2, ,2020-05-09,48.832425,-122.592998,
1136,{3322073F-788C-4428-BBAC-34CC13025D62},2011-09-25,"When I was camping in 2011 at Cape Disappointment, near Ilwaco , I was walking back from the beach with my son. We spotted a Giant Hornet resting on one of the trees there. I tried to get a closer look, but it flew off before I could. I had tried in vain",2, ,2020-05-03,46.29823,-124.07737,
2312,{688B2295-F19D-467C-A272-DCD2E46994BA},2012-06-08,"It was one 3 inch- long black and greenish-yellow striped, hairless wasp with huge head, black thorax and eyes, resting on a fence post in a field of grass and sagebrush\",2, ,2020-05-03,48.359235,-119.689198,
1783,{519AB4F8-6D9B-4F87-96D2-B119B5D82E3B},2012-06-09, ,2, ,2020-07-05,48.016374,-122.053332,
4265,{C10A6385-1A9E-407C-B704-D4C92E0AD487},2012-07-19,I found this dead outside of my business years ago.,0,"It's a cicada killer wasp, a harmless (but scary looking) native.",2020-04-21,46.825939,-119.928915,ATT75_inbound4940667611353223578.jpg
4403,{C7196F09-439A-4BC9-A8ED-E968F3E85DBF},2012-07-20,"Date approx. Honeybees (about 20) gathering from mint plants. 2 or 3 orange faced hornets also gathering. Bees and hornets were getting along fine, seemed docile but busy. Hornets disappeared after about a week .",2,"Thanks for the submission. It is hard to detect any insect in the photo, but it was possibly a great golden digger wasp.",2020-10-04,46.71439,-122.983354,ATT3173_Screenshot_20201003-200819.png
2878,{81C60C15-374F-4B6F-9091-1A00A53D8417},2012-08-01,"I encountered an insect that looked just like this on Patos Island, just north of Orcas Island. It was the largest bee I have seen, aggressive, mostly black but with the orange coloring. I was really surprised because it was not a beetle, june bug and se",2, ,2020-05-02,48.78558,-122.96302,
888,{277C8B38-1597-49BF-A453-06BEEE5D92EB},2013-07-02,The dowel in the picture attached is 3/4 of an inch I believe. My friend and I were building a dock here in Moses Lake when we encountered the bee near the water’s edge.,2, ,2020-05-12,47.182973,-119.387597,
3693,{A46919A1-567A-4446-8BB7-7235197B9EAC},2013-07-02,I submitted an earlier notification but this app alerted me something may be wrong. So I resent it.,2,We fixed our tech issue. Please resubmit your photo. Thanks.,2020-05-12,47.183312,-119.391119,
3279,{936ED6CF-642D-4FBD-9AC9-69BED4D4109C},2013-08-31,"Photo taken August of 2013 at Moran State Park. Massive hornet/wasp whose stinger was close to an inch long. In the photo the stinger is kind of hidden behind the wing, but the stinger extends past it a bit.",0,Native wood wasp.,2020-04-14,48.653248,-122.850697,ATT53_IMG_4974.jpg
5495,{FA9E7423-0FA0-4D52-AE43-79F3A024608E},2014-04-24,"The Hornet landed on the vest of a surveyor, was very lethargic.",2,Is the year 2014 reported accurate?,2020-05-07,48.804397,-122.504951,
3345,{959164C7-204C-487F-9995-5116CDB56869},2015-04-07,As noted...this dates back to 2015...but it sure looks like the hornet,0,Thanks for the submission. That is a yellow jacket.,2020-10-16,48.988013,-122.776979,ATT3260_694913C9-97C9-4FB0-BA2B-2C2E864BC26D.jpg
3269,{934B1425-2699-4768-8373-EF66CDBAC631},2015-05-03,"Interesting that this comes up now.  About 5 years ago, I was talking to someone on the West side of Holland Library in Pullman.  I believe I saw one of these wasps getting nectar out of vine maple blossoms.  It was VERY large and was bright orange with",2, ,2020-04-07,46.730802,-117.163984,
1221,{36ADA775-1AAB-4A08-89BF-FFB6653401BD},2015-06-10, ,2, ,2020-05-04,46.172385,-122.914926,
795,{22D3C934-EECF-408B-B901-36714540A151},2015-07-20,I destroyed a nest of these in Kirkland at LEAST 5 years ago. maybe 7.I just thought it was a really unusual hornet.,2,If you see them again please take a photo,2020-05-07,47.712907,-122.196772,
687,{1E2B3656-E2CD-4DA9-8CEF-FDE70664643B},2015-08-20,Previously attempted to send picture,2, ,2020-10-23,47.80399,-121.549,ATT3301_42D408C0-95F0-4121-B0CF-D3AF977F25B0.png
2268,{665C417D-A34B-4B58-973A-569EB01C4769},2015-08-20,We were camping up at Sunset Falls Campground a long the Lewis River. My boyfriend was stalked then stung by this. We’d never seen anything so big. His leg swelled up very large and he became somewhat ill and had to lay down the rest of the day. The pa,2, ,2020-10-23,47.80399,-121.549,
3353,{9610DC8B-98D0-4C39-8235-55CE16B16F57},2016-06-20,"The large size caught my attention.  I took a number of photos at the time, but haven't located them other than one I sent to another person.  It is still on a text message on a phone I do not use anymore.  Just looked it up and it appears to be what you",2,"Thanks for your submission. I don't see a way to contact you. However, the very early date (if it was in 2016) puts my mind at ease. If you can find the picture, please email me with your contact information: clooney@agr.wa.gov",2020-03-29,47.887101,-121.972109,
2771,{7DD2223F-710D-4C0B-BAA5-2521F225FE47},2016-07-01,I wanted to contact somebody here or have somebody contact me because I have a sighting that is indeed very old and would explain what has been happening to local bee populations as far back as 2016. At 1609 Fairview avenue in Seattle Washington 98104 th,2, ,2020-05-15,47.634077,-122.327433,
1058,{300AD70F-97BE-49A8-AF99-B805CF290856},2016-07-14,"Date is estimated, but I kept hearing buzzing in my bedroom a few years ago and found one of these inside my home. I had never seen anything like it before and call being quite startled at how huge this bee inside my home was. It seemed to come from a cl",2, ,2020-05-04,46.731158,-122.94526,
4991,{E20CCF23-D912-40F5-9797-9213539635D9},2016-07-14,When I was fire chief in Connell Washington for 3 years in a row I observed what believe to be giant asian hornet harvesting insects out of the trees in front of the fire station,2, ,2020-04-24,46.655829,-118.8614,
880,{26FF1CCB-208B-48FA-A353-CE28C8466958},2016-08-01,Date is approximate. I am absolutely posotive of sighting property oner in area also owns property in custer,2, ,2020-05-04,48.688964,-122.6433,
2885,{825396BC-07DE-45EA-8EC4-1311B30C10B8},2016-08-25,"We were at Skyline divide in 2016, I got the time and date from pictures taken during the hike. I didn’t put 2 and 2 together until today, up until then I thought I just got chased by the biggest, meanest hornets in the world that day, but hey, it’s",2,"Thanks for this submission. That description is suspicious, but could still be one of our native species. We'll check it out.",2020-04-04,48.857859,-121.844931,ATT20_download.jfif
5505,{FB0AC521-2EE6-47B8-9021-BA8341BDD4B1},2017-01-20,On my grandson’s flip flop.  About 2” long.,0,"This a species of Sphecius, commonly known as cicada killer wasps",2020-05-04,46.99185,-119.98396,ATT125_D8E278CD-848E-45C1-814D-D153A89DB157.jpg
5216,{EEAF1516-EB51-4D23-8F05-ACD23C94F583},2017-06-01,"I tried to report some sightings a few years ago and nobody got back to me.  I used to deliver packages for FedEx and there is a street where I saw one of these on 3 different occasions.  Don’t have a photo, but I describe as huge and dark orange.",2, ,2020-04-14,48.06114,-122.1769,
5375,{F594C8E8-034F-4615-BAAE-66953E1FE909},2017-06-26,I have seen one on two separate occassions at Steamboat Rock State Park @ Banks Lake. I was shocked at the size of this Hornet. They were not aggressive and somewhat slow moving. I didn't kill it because I thought it looked prehistoric and may be rare. I,2, ,2020-05-06,47.855279,-119.136093,
2328,{68F08D40-EB49-4E6C-9710-45353E8067D8},2017-09-20,I am a former resident of Clinton Washington. During the last two years I was there I saw huge hornets. I do believe it's of note that unusual Hornet was spotted. If they have indeed been established that long? That could be extremely problematic to the,2, ,2020-05-02,47.976383,-122.3674,
1228,{36C16D07-A091-49F6-92FC-D1F0EB0B9FA4},2018-02-25,Saw an article in “Northern Light” about a door cam photo. Made me think of one I had a couple of years ago. Not sure if it’s a Murder Hornet or not,0,Thanks for the submission. That is a bald faced hornet.,2020-10-09,48.936993,-122.783658,ATT3218_DC6A4815-2ECF-46CB-80BF-11F31A0C6694.jpg
5087,{E6A62AB7-0C3A-497B-9742-F3C58E968F34},2018-04-22,Stop video at 14 seconds! Did a looping fly by multiple times and made a distinct sound,0,That's a hummingbird.,2020-06-19,48.835478,-122.462557,ATT534_trim.ADDE6423-B254-489B-A141-0DB027DD4513.MOV
1493,{43506835-18B8-46B2-A2CB-586AF9C8ECE6},2018-05-26,it was about two inches long and flew really slow. The neighbor seen one later that year also who lives about a mile and half away. Only one I've ever seen and I took pictures because it was so huge.,0,This is a native sawfly,2020-05-03,48.152056,-117.260089,ATT100_inbound241937372812029587.jpg
336,{0EE47243-22A1-4413-AFFC-F75118C8A256},2018-06-04,"This was found dead outside of our garage on the evening of June 4, 2018. Took pictures because it looked unlike anything we had seen before, but after a few months we threw it away.",0,This is a native elm sawfly.,2020-05-04,47.716728,-122.075062,ATT145_IMG_5767.jpg
1517,{44DA213B-32AD-41A9-9011-BAF6D46ADD8C},2018-06-08,"it appeared to be 2"" at least, docile on a leaf, barely moving. only saw the one hornet",2, ,2020-05-07,47.538492,-122.379784,
1825,{536A7E41-B3F8-4850-840B-4910ABF50298},2018-06-19,"Found this in my horses water tank near  Trinidad, Wa.",0,"This one is a cicada killer, probably Sphecius grandis.",2020-04-17,47.234952,-120.006942,ATT63_CEF64EAF-ECED-4FD5-B913-C1923B7990C6.jpg
4665,{D2BF8A82-A5CE-42B8-8D05-46222CD2B1FB},2018-06-20,I had an upside down bowl type of nest with about four cells inside built on my back porch. The Hornet was bigger than a Bumble bee.,2, ,2020-05-07,47.707893,-117.438849,
3542,{9E46DAE2-B75E-4708-94F8-54FFB3D867C3},2018-06-22,I've seen two in Ephrata between 2017-2018,2, ,2020-04-07,47.318978,-119.557481,
5155,{EAC16248-52B7-4B86-8BA3-0913E2EE3A3A},2018-07-01,"We've been noticing big, red hornet/wasps that live under the stone path in our backyard last summer. We didn't have an ID on them until now. No current photo unfortunately.",2,Please try and get a picture if you see them again!,2020-04-03,47.665711,-122.326871,
5355,{F492F726-20F4-4C9A-B546-F9523DD2236F},2018-07-07,"We saw one of these two years ago in Anacortes.  We had arrived at the Ferry Terminal and were driving the shrimp shack.  My teenage daughter was driving, when she complained about something stinging her in the back.  We almost crashed, but I was able to",2, ,2020-05-21,48.498989,-122.676417,
2440,{6E10F85F-B4CA-4741-8A48-DB179A53F64B},2018-07-14,We stayed at Sun Desert Resort in Potholes from May 2018 to November 2018 and around the middle of July we notice a weird large bug flying close to us so I hit it with a bug zapper  tennis racket. It hit the ground and  zapped it again. A real spooky hug,2, ,2020-05-05,46.976681,-119.369948,
5519,{FBAC17E5-3BBE-45B6-ABD8-AE1BF88C632E},2018-07-14,THIS DATE IS AN ESTIMATE. IT WAS TWO YEARS AGO DURING THE SUMMER. IT DEVOURED A BEE IN FRONT OF ME WHICH IS WHY I REMEMBER IT. I WAS SHOCKED BUT DIDN'T KNOW WHAT IT WAS? THEN I SAW THIS ON THE NEWS..,2, ,2020-04-09,47.822687,-122.343588,
1179,{34D43EB4-6B65-4F65-81E1-56B45BC71A1E},2018-07-15,There was 1 maybe 2 large bees (?) in among numerous other normal size bees  at a boat ramp in central ferry.  I don’t think it’s what you’re looking for but here is a pic,0,"This a species of Sphecius, commonly known as cicada killer wasps",2020-05-04,46.621715,-117.798804,ATT131_83D78414-3E70-450B-AE2B-A6A038E9ED37.jpg
280,{0CB4EBA6-E80E-4B88-8236-3C8E72A2BA72},2018-07-20,I was told to send this to you guys even though it was 2 years ago. I've seen about 3 since then around george and quincy area. I had no idea we werent supposed to kill them.,0,"This is a western or Pacific cicada killer, a more or less harmless native. You shouldn't kill them because they are important to the overall ecosystem. We are asking people not to try and kill Asian giant hornet nests because of the health risk and our",2020-04-15,47.31936,-119.55513,ATT60_inbound3120849347881827521.jpg
2190,{63BBFFBD-73DB-4CC9-AD84-42AB0FE8DE56},2018-07-20,"I killed this in my back yard a couple years ago. Didn’t think anything of it until I just read your article. Not sure if it’s a Asian giant hornet, but figure I would share.",0,"Thanks for your submission! This one is a native species, either Sphecius grandis or Sphecius convallis.",2020-04-08,46.729429,-120.556863,ATT38_B458C038-A82C-4907-A953-0A670A6AC219.jpg
2462,{6FA5F703-E43F-4E6A-BA03-055385387E7E},2018-07-20,Orondo State Park - near the apple orchards.,2, ,2020-04-07,47.701216,-120.195674,
4963,{E035D8C5-F345-4266-9EF3-3F29B0B42059},2018-07-20,"A friend found a gigantic bee on our property two summers ago. (We've since moved) It was dead but bigger than any bee I've ever seen, about 1-2 inches long.",2, ,2020-05-05,48.906189,-122.59582,
5381,{F623E0C7-365C-47B8-8860-28E51AD6A04F},2018-08-05,Neither my husband or I had a camera on hand; but it was buzzing by and was as large as a hummingbird...it was extremely loud and went past us and into the forest.  The two of us knew what it was right when we seen it but we didn’t know who or how to r,2, ,2020-05-06,48.355217,-117.271249,
790,{229B999C-BA7B-40BB-AD26-F152D71F8C35},2018-08-06,"Put out bag type trap with bait for Hornets/ Wasps on patio. Quickly had a large swarm. As we watched, Very large Wasp ? kept swooping in and hauling away the smaller one's. Had not ever seen wasp this big and did not see any in 2019. Quite fascinating t",2, ,2020-05-03,45.760272,-122.662414,
2515,{71F72F7D-8270-4544-BC0F-B219CAFA123F},2018-08-16,I can’t find a picture but these are definitely non native hornets. I think they’re European hornets. 2018 is the first year I started seeing them. Some bee keepers store hives on our property. I might have a specimen and will send a picture if I fin,2, ,2020-04-08,46.500337,-117.774936,
1148,{339CEB4E-EAC1-45C4-A8B5-51BD33A65854},2018-09-20,"I'm unsure of the date.  I know you are trying to find them.  So, if this helps. I saw the hornet before it became public news. I am a landscaper.  I saw it while working. Most of our work is in Sudden Valley but also in Blaine.  I'm not 100% sure of loc",2, ,2020-10-14,48.991273,-122.708296,
3264,{931A8E3E-9FE2-4271-A386-867C76516779},2019-01-20,"This is the cicada killer, either Sphecius grandis or Sphecius convallis.",0, ,2020-04-08,46.491849,-117.085127,ATT37_88C7018C-51ED-42B7-A1A7-CF7F5E7765D5.jpg
552,{17EBEDE2-7DFF-4342-A66E-376185CD95DE},2019-01-20,No picture-but I wanted you to know I saw one in Prosser last June. I looked it up then and it was an exact version of the pictures I found. My parents live in the country surrounded by orchards.,2, ,2020-05-03,46.204805,-119.769015,
